fields	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40
gvar	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_1	group_2	group_2	group_2	group_2	group_2	group_2	group_3	group_3	group_3	group_3	group_3	group_3	group_3	group_4	group_4	group_4	group_4	group_4	group_4	group_4	group_4
Shigella_flexneri	0.00308740737744972	0.00546279612821419	0.000830652991120601	0.00255167286817059	0.00186279594101387	0.011310052381912	0.00428878672234956	0.00174963186000648	0.0118538162975173	0.000716904580145203	0.00241264576993434	0.00352620454427262	0.00278503886434627	0.00160228615314246	0.00259994824178735	0.00205230689391419	0.0073674730302827	0.00100329197571708	0.00232492405520073	0.000699083395690659	0.00130727674284228	0.00206521192650624	0.00337621877948284	0.0115393199265616	0.00408777189110196	0.024266011573236	0.00180953282108525	0.00563852423435003	0.00160157867609327	0.00200825263403448	0.00262670858562316	0.00102000941378741	0.00140138404053152	0.00209553151882445	0.00284212710290595	0.00101646639203633	0.00237707634918911	0.00210179426940507	0.000275455677418925	0.00257667220478128
Pseudomonas_syringae	2.04837699921609e-05	0	0	4.15864333661397e-05	2.44276038303319e-05	2.52921212480314e-05	0	0	6.78140046877506e-05	2.69741516068314e-05	0	0	0	0	3.42725000422722e-05	0	3.86814656212511e-05	0	0	0	1.91790141921288e-05	3.40037293525416e-05	0	0	0	0	0	0	0	3.37943720174037e-05	0	0	1.56284954030928e-05	1.20840870383884e-05	0	8.47938875559446e-06	0	1.2630838693857e-05	0	0
Pseudomonas_fluorescens	2.52938559046857e-05	0	2.7851959794048e-05	0	0	2.83912890591754e-05	9.29864573136509e-05	4.93299103760488e-05	5.72076547404139e-05	0	3.70080249251315e-05	0	0	7.93998037446616e-05	0	4.9829210960881e-05	0	4.24620783732986e-05	6.68991512891402e-05	3.73202451859732e-05	0	0	3.35225936767217e-05	6.79193934203277e-05	2.40960269631127e-05	0	0	0	0	0	0	1.6784127902393e-05	1.33188281313526e-05	0	1.77256867264733e-05	0	1.28550857361719e-05	0	2.4397222025306e-05	2.24878349445723e-05
Desulfovibrio_alaskensis	0	0	0	2.20650430166623e-05	0	0	5.19571243284572e-05	0	3.68312092772455e-05	2.29505570418313e-05	0	0	0	2.88845736637244e-05	0	0	0	7.19422556585094e-05	0	0	0	2.04277521278069e-05	0	0	0	0	5.03916178033623e-05	0	0	0	0	0	7.08633869725494e-06	7.13661307395444e-06	0	1.12439996494361e-05	1.25107007164248e-05	0	0	0
Streptococcus_agalactiae	2.86232614098791e-05	0	0	3.63911467040158e-05	0	0	0	0	4.38801806143037e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94714070529715e-05	0	2.19173274221424e-05	0	0	0	3.64928634659072e-05	0	1.14900756533188e-05	0	0	0	6.4535028994582e-05	0
Burkholderia_cenocepacia	2.21093929327134e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pectobacterium_atrosepticum	0.000463527367779548	0.000554961485377321	0.00163258773155797	0.000567614394579706	0.000634276522297198	0.00080187598856698	0.00119465583539483	0.000936864089208694	0.00166290054392041	0.000485985586487269	0.000351332918495993	0.00101894259891444	0.000624265056445765	0.00150466980397307	0.000755179577484459	0.00033303308106344	0.00141598252038965	0.000713635160165751	0.00054084529488478	0.000399592556822686	0.00045209378250447	0.000373233110994582	0.000952159334798502	6.51766743361979e-05	0.000364173244689048	0.0003784978219856	0.000778066571740552	0.000362844832100042	0.00102816991680495	0.000887210913482821	0.00041447078112984	0.000570854260385378	0.000152583274342316	0.000127407310580322	0.000141973901008926	0.000181881374312303	0.000215236119887287	0.000252533320740528	0.000383246017788538	0.000259472774910658
Streptococcus_uberis	6.32542176045487e-05	0	0	0	0	8.40874153773398e-05	6.45508806245968e-05	0	0	2.28213628532708e-05	0	0	0	0	0.00010306211436395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_protegens	0	3.00355600824874e-05	4.71450684016982e-05	0	0	0	0	0	0	0	0	3.53452370736381e-05	0	0	0	0	0	0	5.00301824065114e-05	2.90512857458115e-05	0	0	4.02390546003808e-05	0	0	0	2.58173566995517e-05	0	3.03495448409912e-05	0	2.19746858121504e-05	0	7.75709844737565e-06	1.17333260146806e-05	0	1.02451706308465e-05	1.22129668526746e-05	7.96584859730392e-06	0	0
Lactobacillus_plantarum	0.00114697278914427	0.00152714603873755	0.00140131814787633	0.00155670332052355	0.000529314836264581	0.00140948073473606	0.00361059105487653	0.00222924014512842	0.00024553572678846	0.000854368861733559	0.00256443293452286	0.0029926514501314	0.00265251979619185	0.00123955754437941	0.00281146779629846	0.000957819168363024	0.0011050629321694	0.00156259224240761	0.000701666552654966	0.00116006561962433	0.00083929915015783	0.000993635225219267	0.000800577342036782	0.00221094361394906	0.000786569977488572	0.00173620457918225	0.00125687940565028	0.00102440102834633	0.00124747238104452	0.000783361730896072	0.00107058910505945	0.0010042991403146	0.000203665022892908	0.000332199373551291	0.000535822234596437	0.000417119049307712	0.000485982230089304	0.000317267679517191	0.0004023139558314	0.000568657161955662
Bacillus_cereus	0.000367551869137409	0.000572677156266411	0.000234264217127664	0.000629932044619627	0.000959031493871045	0.000409229085643758	0.000685936313988966	0.000343173434710822	0.000653324157471277	0.000785401729292366	0.000378502089788127	0.000269150379518562	0.000360855938597757	0.000471520330156242	0.000696448673720808	0.000367669763807395	0.00127973271648	0.000551334329393652	0.0011924130599355	0.000473527725511123	0.000335302616844069	0.000262178014860173	0.000687861267450117	0.000318867199086746	0.000597101704187449	0.000417797069590374	0.000459993344067166	0.000288723143364003	0.00083197862515751	0.000389168913361856	0.000208120414088157	0.000295467322667101	0.000262079315654553	0.000289807903335022	2.80258304543233e-05	2.63375864677374e-05	0.000420197225005519	0.000121154862985155	0.000181261059998724	7.59009004001123e-05
Pseudomonas_syringae_group_genomosp._3	0	0	2.51850164227564e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55906958923484e-05	0	0	0	1.90261303171981e-05	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron	0.00059400500049736	0.000764505102430259	0.0007833185854059	0.00174206574020394	0.000799379586515936	0.000660248526762704	0.000830513991218563	0.00296965605035894	0.0123373191117867	0.000562400856725335	0.00538664314053852	0.000938752989698591	0.00670698599852836	0.000916263752303886	0.00118842324400591	0.000901103020000571	0.0017327799250957	0.0155370338863479	0.000535125783612264	0.000930742537691501	0.00334372347005113	0.000393626213625306	0.000515433436674748	0.00264011791009083	0.000384056963607356	0.000142393009064425	0.000502371322192639	0.000279843729800075	0.00108646048800228	0.00291090070153703	0.0014253576826906	0.000293809541279561	0.000202288994080332	0.00113780583787885	9.57640579827416e-05	9.41367221530753e-05	0.00103141276048572	0.000149798377330331	0.000370190731412294	0.000287902816477589
Actinobacillus_pleuropneumoniae	0	0	0	0	0	0	0	0	0	2.11566188175961e-05	0	0	0	0	0	0	0	4.15019590705617e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.65613584868988e-06	0	0	0	0
Yersinia_pestis	0.00100263430491009	0.00415757516261314	0.00105367211933004	0.000589044254090964	0.000846302016529275	0.00146477041343036	0.00142852242073559	0.00458101996027253	0.00273481963994576	0.000673519437865887	0.00163906901639145	0.000994535774384267	0.00183490314290447	0.00128899351630556	0.00128041673447091	0.000353614246662812	0.00122396118701947	0.00134342349993765	0.000799706868245039	0.00120031053982157	0.000762166887466417	0.000596794755970189	0.000975315049642895	0.000780471533634468	0.00180314998779878	0.00195447596790174	0.00137292169190869	0.0010048104252302	0.000646482280169364	0.000488487290833414	0.00133853734917163	0.000554424044193558	0.000136653657434155	0.000187073024110127	0.000245978765474589	0.000520635313912732	0.000265941207700855	3.55785812471252e-05	0.000254790788034004	0.000251157978096262
Acidovorax_sp._JS42	0	0	0	0	0	0	6.76790840705027e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.92032172051506e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79370342922069e-05
Helicobacter_hepaticus	0.0105815505265449	0.00780671627211824	0.00590552215640595	0.00465992051551378	0.0167379735294513	0.00493068624630882	0.00813456050669914	0.00825999721827725	0.00836413354198585	0.00814963391677495	0.00836459643294398	0.00687249220070372	0.00727261873043749	0.0144135388679046	0.00763430796094529	0.00375796612107552	0.0126626497340816	0.00119184659807831	0.00513629343673025	0.00494250979239186	0.00554749763580879	0.00743820782389818	0.00356014453324504	0.0049319859131841	0.00556909223074408	0.00535612256141335	0.00376176893092885	0.00289358546135299	0.03284188274126	0.014660905328886	0.00245905997907608	0.00388943887770557	0.0017548854237711	0.00164757739018163	0.00216470730405966	0.00476611232367996	0.00277418622633914	0.0101637048496517	0.00443696268591515	0.00306949710941671
